town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,KF,L,MHL,MRZ,PA,SHS,OTHER
7,517,377,0,377,31,8,0,28,3,11,128,13,98,39,18
10,332,245,0,245,1,4,0,11,4,0,93,1,6,104,21
11,406,287,0,287,32,1,1,13,5,10,57,5,94,4,65
13,502,373,0,373,24,2,0,17,4,18,25,32,216,1,34
15,308,228,1,227,1,4,0,8,4,1,158,0,13,36,2
16,437,347,0,347,34,0,4,2,1,7,10,133,153,1,2
18,397,305,2,303,22,0,0,4,2,18,78,8,151,2,18
21,574,418,1,417,38,4,3,14,4,33,104,31,179,4,3
22,150,95,0,95,6,0,0,6,0,3,25,9,45,1,0
23,195,143,0,143,6,2,0,57,9,1,30,1,29,2,6
24,562,465,2,463,52,0,2,12,3,8,29,83,264,1,9
26,2404,1730,3,1727,198,17,13,98,33,63,430,182,663,19,11
27,268,187,1,186,7,4,0,10,5,1,76,0,10,52,21
28,10432,7973,28,7945,653,35,7,557,130,357,2121,385,3457,173,70
29,1230,874,7,867,63,3,1,58,3,36,175,70,443,7,8
31,21413,14236,134,14102,488,2202,12,606,365,1216,4886,53,980,3217,77
32,434,344,2,342,6,5,0,9,7,4,109,0,8,191,3
33,435,338,0,338,41,2,1,16,4,10,47,49,161,5,2
35,371,242,1,241,35,0,1,3,1,5,10,44,140,0,2
36,415,314,1,313,12,5,1,12,7,7,142,2,57,50,18
37,354,281,0,281,2,9,0,25,43,0,145,0,7,44,6
39,266,213,2,211,5,6,0,13,2,2,109,2,16,52,4
41,2595,1983,11,1972,87,43,0,131,52,57,954,29,338,266,15
43,1416,837,4,833,89,3,0,33,10,42,140,63,433,9,11
44,265,199,0,199,6,8,0,10,1,3,119,1,23,22,6
46,2496,1787,5,1782,45,66,3,58,76,29,410,28,308,741,18
47,3343,2435,3,2432,208,6,10,136,17,130,549,127,1212,23,14
48,932,593,2,591,39,16,2,24,21,22,269,8,162,17,11
49,460,310,0,310,20,1,1,18,3,14,102,14,121,3,13
52,451,340,1,339,16,8,2,22,6,8,137,14,63,51,12
53,5675,4063,24,4039,265,38,20,157,50,175,1392,196,1551,175,20
55,407,279,1,278,20,0,0,13,4,7,111,0,28,15,80
57,632,439,0,439,83,0,0,4,5,17,45,32,248,0,5
58,136,94,0,94,9,0,0,0,0,5,20,5,53,0,2
59,769,596,3,593,13,9,0,340,35,2,119,2,48,23,2
62,514,335,0,335,78,0,0,4,1,4,20,48,178,1,1
63,522,363,2,361,33,3,2,12,0,7,110,21,170,0,3
64,848,638,0,638,24,9,0,35,14,13,328,4,83,68,60
65,1390,914,4,910,36,28,5,43,43,22,465,7,106,143,12
66,891,639,2,637,54,1,2,17,6,43,117,113,277,5,2
67,614,473,1,472,97,0,1,5,0,22,23,50,274,0,0
69,325,225,1,224,27,0,1,1,0,4,13,77,96,1,4
70,178302,116800,808,115992,3177,13627,35,3689,1703,20902,36221,691,18956,16300,691
71,408,313,0,313,39,1,0,17,7,8,136,4,68,25,8
72,875,684,0,684,53,0,2,2,0,3,9,304,309,0,2
74,496,358,1,357,27,2,9,7,0,12,17,116,166,0,1
76,567,355,0,355,56,1,0,6,1,14,18,42,213,2,2
77,814,567,1,566,110,3,0,6,0,29,44,73,291,1,9
78,306,209,0,209,39,1,1,1,0,9,17,40,100,1,0
79,556,404,2,402,73,2,0,8,1,5,31,59,220,0,3
80,742,560,2,558,55,1,1,8,0,24,46,62,356,1,4
82,674,497,0,497,122,4,1,13,1,15,22,61,252,1,5
84,372,275,3,272,55,0,1,9,0,6,9,35,155,2,0
85,729,585,0,585,71,0,3,15,4,28,57,42,357,2,6
86,522,380,0,380,128,0,0,3,0,4,11,47,185,0,2
89,519,376,1,375,61,1,1,6,2,13,15,39,236,0,1
90,566,432,1,431,79,0,1,12,1,10,68,48,209,2,1
92,536,384,2,382,64,0,0,0,2,12,31,81,187,0,5
94,393,322,0,322,32,3,0,19,3,26,51,18,156,4,10
95,592,425,3,422,54,4,2,7,1,8,12,102,222,5,5
96,1343,936,2,934,220,2,1,9,2,23,44,108,519,1,5
97,563,429,5,424,35,5,2,12,4,11,65,32,229,3,26
98,285,232,0,232,28,0,0,4,2,2,31,32,101,0,32
99,3673,2092,17,2075,168,122,40,215,88,224,643,186,308,61,20
102,118,63,1,62,4,0,0,1,0,9,18,4,24,0,2
103,846,658,1,657,59,7,2,21,3,31,127,43,357,2,5
104,683,488,1,487,45,1,1,4,0,11,17,164,244,0,0
106,182,140,0,140,5,61,0,8,3,2,29,0,9,21,2
