town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,L,MHL,PA,SHS,OTHER
967,2018,595,6,589,13,0,554,0,1,4,8,2,7
472,4821,2718,36,2682,75,4,2157,5,5,280,123,14,19
473,9422,6090,53,6037,92,6,4458,16,230,190,752,247,46
958,142,41,1,40,0,0,40,0,0,0,0,0,0
968,3037,1336,8,1328,9,0,1263,1,0,8,33,0,14
1342,578,334,3,331,9,0,264,1,0,3,52,0,2
966,4060,1524,21,1503,8,1,1431,1,1,4,24,3,30
961,4870,2171,5,2166,3,2,2126,1,1,3,11,1,18
1375,943,576,2,574,0,0,565,1,0,0,3,2,3
652,1818,1161,10,1151,4,0,1110,1,1,8,18,1,8
1275,308,233,0,233,35,0,7,9,4,25,142,0,11
679,519,413,0,413,49,4,6,9,7,107,225,3,3
1115,332,246,0,246,0,4,0,2,0,175,4,61,0
819,617,488,4,484,62,0,0,31,4,55,326,6,0
175,983,734,1,733,82,2,7,15,13,115,491,7,1
2052,417,330,0,330,4,10,0,15,4,240,29,23,5
1070,577,445,0,445,32,1,4,33,21,196,139,15,4
1220,210,160,1,159,58,0,5,2,2,7,82,2,1
182,9935,7569,27,7542,725,51,28,202,190,1862,4298,149,37
1081,281,193,0,193,5,0,0,8,1,125,33,20,1
783,497,351,2,349,19,0,0,13,10,219,73,13,2
400,912,787,2,785,4,27,0,299,0,348,13,87,7
4011,402,311,0,311,4,5,1,158,1,92,23,9,18
3793,1107,882,1,881,2,20,0,400,0,337,4,94,24
1311,250,158,1,157,3,2,0,1,74,41,35,0,1
3759,246,191,0,191,5,4,1,60,4,72,32,3,10
113,233,183,0,183,0,1,0,2,0,110,10,58,2
1068,354,195,0,195,56,0,14,3,18,36,65,1,2
1123,570,409,1,408,13,4,0,49,1,238,53,46,4
446,807,615,1,614,84,1,4,9,19,89,396,9,3
4010,121,89,0,89,10,0,1,5,2,14,54,1,2
1046,267,185,0,185,6,0,2,16,1,81,73,6,0
2710,35711,22535,126,22409,88,1,22079,7,4,64,65,12,89
2024,717,580,1,579,10,0,558,1,0,4,2,0,4
1358,2011,1158,8,1150,3,0,1125,1,0,5,5,3,8
1108,367,231,0,231,5,4,0,8,31,135,41,6,1
680,512,388,0,388,56,0,1,4,6,57,258,6,0
31,21810,14655,109,14546,243,2198,18,572,1118,5881,1012,3378,126
1294,281,184,0,184,2,83,0,3,0,31,1,58,6
67,616,469,0,469,112,0,3,5,11,32,302,1,3
2400,26945,18883,149,18734,558,196,16,506,357,10274,3228,3456,143
1020,15949,10300,63,10237,195,137,12,322,1151,5793,1418,1122,87
780,840,602,1,601,39,4,0,26,13,279,178,56,6
2012,437,319,2,317,44,0,0,8,6,43,212,4,0
